run_id,map,effective_map,demand,pop_seed,scenario,controller,flags,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_speed_mps,mean_co2_g,mean_fuel_g
manhattan8x8_100pc__low__seed1__mp_base,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_base,mp,,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/populations/manhattan8x8_100pc_low_seed1.yaml,ok,2.394,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/runs/manhattan8x8_100pc__low__seed1__mp_base/vehicle_metrics.csv,45,6.6,14.0,40.533333,79.4,8.039803,114.372875,36.928758
manhattan8x8_100pc__low__seed1__mp_lta_g020,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_lta_g020,mp,--lost-time-aware --lost-time-sat-flow 0.35 --lost-time-gain 0.20,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/populations/manhattan8x8_100pc_low_seed1.yaml,ok,2.395,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/runs/manhattan8x8_100pc__low__seed1__mp_lta_g020/vehicle_metrics.csv,45,6.6,14.0,40.533333,79.4,8.039803,114.372875,36.928758
manhattan8x8_100pc__low__seed1__mp_lta_g030,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_lta_g030,mp,--lost-time-aware --lost-time-sat-flow 0.35 --lost-time-gain 0.30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/populations/manhattan8x8_100pc_low_seed1.yaml,ok,2.369,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/runs/manhattan8x8_100pc__low__seed1__mp_lta_g030/vehicle_metrics.csv,45,6.6,14.0,40.533333,79.4,8.039803,114.372875,36.928758
manhattan8x8_100pc__low__seed1__mp_lta_g040,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_lta_g040,mp,--lost-time-aware --lost-time-sat-flow 0.35 --lost-time-gain 0.40,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/populations/manhattan8x8_100pc_low_seed1.yaml,ok,2.374,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/runs/manhattan8x8_100pc__low__seed1__mp_lta_g040/vehicle_metrics.csv,45,6.6,14.0,40.533333,79.4,8.039803,114.372875,36.928758
manhattan8x8_100pc__low__seed1__mp_nmin_only,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_nmin_only,mp,--nmin-dynamic --lost-time-sat-flow 0.35 --nmin-alpha 0.60 --nmin-floor 1 --nmin-empty-release-seconds 1.2,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/populations/manhattan8x8_100pc_low_seed1.yaml,ok,2.388,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/runs/manhattan8x8_100pc__low__seed1__mp_nmin_only/vehicle_metrics.csv,45,6.6,14.0,40.533333,79.4,8.039803,114.372875,36.928758
manhattan8x8_100pc__low__seed1__mp_lta_plus_nmin,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_lta_plus_nmin,mp,--lost-time-aware --nmin-dynamic --lost-time-sat-flow 0.35 --lost-time-gain 0.30 --nmin-alpha 0.60 --nmin-floor 1 --nmin-empty-release-seconds 1.2,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/populations/manhattan8x8_100pc_low_seed1.yaml,ok,2.385,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/runs/manhattan8x8_100pc__low__seed1__mp_lta_plus_nmin/vehicle_metrics.csv,45,6.6,14.0,40.533333,79.4,8.039803,114.372875,36.928758
manhattan8x8_100pc__low__seed1__mp_downstream_b12,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_downstream_b12,mp,--spillback --spillback-on 0.95 --spillback-off 0.85 --spillback-min-halts 2 --spillback-alpha 0.30 --downstream-penalty --downstream-beta 1.2 --downstream-alpha 0.30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/populations/manhattan8x8_100pc_low_seed1.yaml,ok,3.357,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/runs/manhattan8x8_100pc__low__seed1__mp_downstream_b12/vehicle_metrics.csv,45,6.6,14.0,40.533333,79.4,8.004806,113.639613,36.692367
manhattan8x8_100pc__low__seed1__mp_downstream_b08,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_downstream_b08,mp,--spillback --spillback-on 0.95 --spillback-off 0.85 --spillback-min-halts 2 --spillback-alpha 0.30 --downstream-penalty --downstream-beta 0.8 --downstream-alpha 0.30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/populations/manhattan8x8_100pc_low_seed1.yaml,ok,3.364,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/runs/manhattan8x8_100pc__low__seed1__mp_downstream_b08/vehicle_metrics.csv,45,6.688889,14.8,40.533333,79.4,7.978627,112.478864,36.318203
manhattan8x8_100pc__low__seed1__mp_downstream_b16,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_downstream_b16,mp,--spillback --spillback-on 0.95 --spillback-off 0.85 --spillback-min-halts 2 --spillback-alpha 0.30 --downstream-penalty --downstream-beta 1.6 --downstream-alpha 0.30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/populations/manhattan8x8_100pc_low_seed1.yaml,ok,3.388,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/runs/manhattan8x8_100pc__low__seed1__mp_downstream_b16/vehicle_metrics.csv,45,6.688889,14.8,40.533333,79.4,7.978627,112.478864,36.318203
manhattan8x8_100pc__low__seed1__mp_platoon_x2,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_platoon_x2,mp,--platoon-extension --platoon-headway-threshold 1.6 --platoon-gap-out-seconds 1.6 --platoon-max-extra-green 2.0 --platoon-guard-occ 0.80 --spillback --spillback-on 0.95 --spillback-off 0.85 --spillback-min-halts 2 --spillback-alpha 0.30 --downstream-penalty --downstream-beta 1.00 --downstream-alpha 0.30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/populations/manhattan8x8_100pc_low_seed1.yaml,ok,4.046,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/runs/manhattan8x8_100pc__low__seed1__mp_platoon_x2/vehicle_metrics.csv,45,6.444444,14.0,40.533333,79.4,8.071952,114.14955,36.85707
manhattan8x8_100pc__low__seed1__mp_platoon_x3,manhattan8x8_100pc,manhattan8x8_100pc,low,1,mp_platoon_x3,mp,--platoon-extension --platoon-headway-threshold 1.6 --platoon-gap-out-seconds 1.6 --platoon-max-extra-green 3.0 --platoon-guard-occ 0.80 --spillback --spillback-on 0.95 --spillback-off 0.85 --spillback-min-halts 2 --spillback-alpha 0.30 --downstream-penalty --downstream-beta 1.00 --downstream-alpha 0.30,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/populations/manhattan8x8_100pc_low_seed1.yaml,ok,4.009,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438/runs/manhattan8x8_100pc__low__seed1__mp_platoon_x3/vehicle_metrics.csv,45,6.444444,14.0,40.533333,79.4,8.071952,114.14955,36.85707
