map,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_speed_mps,avg_vehicles_count
manhattan8x8_100pc,low,fixed_base,1,20.622222,0.0,54.6,41.0,0.0,83.2,5.73871,45.0
manhattan8x8_100pc,low,mp_base,1,6.6,0.0,14.0,40.533333,0.0,79.4,8.039803,45.0
manhattan8x8_100pc,low,mp_downstream_b08,1,6.688889,0.0,14.8,40.533333,0.0,79.4,7.978627,45.0
manhattan8x8_100pc,low,mp_downstream_b12,1,6.6,0.0,14.0,40.533333,0.0,79.4,8.004806,45.0
manhattan8x8_100pc,low,mp_downstream_b16,1,6.688889,0.0,14.8,40.533333,0.0,79.4,7.978627,45.0
manhattan8x8_100pc,low,mp_fair_mu2,1,6.6,0.0,14.0,40.533333,0.0,79.4,8.039803,45.0
manhattan8x8_100pc,low,mp_fair_mu3,1,6.6,0.0,14.0,40.533333,0.0,79.4,8.039803,45.0
manhattan8x8_100pc,low,mp_fair_mu4,1,6.6,0.0,14.0,40.533333,0.0,79.4,8.039803,45.0
manhattan8x8_100pc,low,mp_lta_g020,1,6.6,0.0,14.0,40.533333,0.0,79.4,8.039803,45.0
manhattan8x8_100pc,low,mp_lta_g030,1,6.6,0.0,14.0,40.533333,0.0,79.4,8.039803,45.0
manhattan8x8_100pc,low,mp_lta_g040,1,6.6,0.0,14.0,40.533333,0.0,79.4,8.039803,45.0
manhattan8x8_100pc,low,mp_lta_plus_nmin,1,6.6,0.0,14.0,40.533333,0.0,79.4,8.039803,45.0
manhattan8x8_100pc,low,mp_nmin_only,1,6.6,0.0,14.0,40.533333,0.0,79.4,8.039803,45.0
manhattan8x8_100pc,low,mp_platoon_x2,1,6.444444,0.0,14.0,40.533333,0.0,79.4,8.071952,45.0
manhattan8x8_100pc,low,mp_platoon_x3,1,6.444444,0.0,14.0,40.533333,0.0,79.4,8.071952,45.0
manhattan8x8_100pc,low,mp_platoon_x4,1,6.444444,0.0,14.0,40.533333,0.0,79.4,8.071952,45.0
manhattan8x8_100pc,low,rbl_base,1,0.066667,0.0,0.0,39.955556,0.0,74.8,10.107447,45.0
