map,demand,scenario,delta_baseline_scenario,avg_mean_wait_s,avg_mean_travel_s,wait_delta_vs_base_pct,travel_delta_vs_base_pct
manhattan8x8_100pc,low,fixed_base,fixed_base,20.622222,41.0,0.0,0.0
manhattan8x8_100pc,low,mp_base,fixed_base,6.6,40.533333,-67.9957,-1.1382
manhattan8x8_100pc,low,mp_downstream_b08,fixed_base,6.688889,40.533333,-67.5647,-1.1382
manhattan8x8_100pc,low,mp_downstream_b12,fixed_base,6.6,40.533333,-67.9957,-1.1382
manhattan8x8_100pc,low,mp_downstream_b16,fixed_base,6.688889,40.533333,-67.5647,-1.1382
manhattan8x8_100pc,low,mp_fair_mu2,fixed_base,6.6,40.533333,-67.9957,-1.1382
manhattan8x8_100pc,low,mp_fair_mu3,fixed_base,6.6,40.533333,-67.9957,-1.1382
manhattan8x8_100pc,low,mp_fair_mu4,fixed_base,6.6,40.533333,-67.9957,-1.1382
manhattan8x8_100pc,low,mp_lta_g020,fixed_base,6.6,40.533333,-67.9957,-1.1382
manhattan8x8_100pc,low,mp_lta_g030,fixed_base,6.6,40.533333,-67.9957,-1.1382
manhattan8x8_100pc,low,mp_lta_g040,fixed_base,6.6,40.533333,-67.9957,-1.1382
manhattan8x8_100pc,low,mp_lta_plus_nmin,fixed_base,6.6,40.533333,-67.9957,-1.1382
manhattan8x8_100pc,low,mp_nmin_only,fixed_base,6.6,40.533333,-67.9957,-1.1382
manhattan8x8_100pc,low,mp_platoon_x2,fixed_base,6.444444,40.533333,-68.75,-1.1382
manhattan8x8_100pc,low,mp_platoon_x3,fixed_base,6.444444,40.533333,-68.75,-1.1382
manhattan8x8_100pc,low,mp_platoon_x4,fixed_base,6.444444,40.533333,-68.75,-1.1382
manhattan8x8_100pc,low,rbl_base,fixed_base,0.066667,39.955556,-99.6767,-2.5474
