Run dir: /home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0011_20260430_174438
Gruppi: 1
Ordinamento: wait (asc)

=== manhattan8x8_100pc / low ===
Rank | Scenario          | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Runs
-----+-------------------+-------------+--------------+---------------+----------------+------------+--------------+----------------+-----
1    | rbl_base          | 0.07        | -99.68       | 39.96         | -2.55          | 0.00       | 74.80        | 10.11          | 1
2    | mp_platoon_x2     | 6.44        | -68.75       | 40.53         | -1.14          | 14.00      | 79.40        | 8.07           | 1
3    | mp_platoon_x3     | 6.44        | -68.75       | 40.53         | -1.14          | 14.00      | 79.40        | 8.07           | 1
4    | mp_platoon_x4     | 6.44        | -68.75       | 40.53         | -1.14          | 14.00      | 79.40        | 8.07           | 1
5    | mp_base           | 6.60        | -68.00       | 40.53         | -1.14          | 14.00      | 79.40        | 8.04           | 1
6    | mp_downstream_b12 | 6.60        | -68.00       | 40.53         | -1.14          | 14.00      | 79.40        | 8.00           | 1
7    | mp_fair_mu2       | 6.60        | -68.00       | 40.53         | -1.14          | 14.00      | 79.40        | 8.04           | 1
8    | mp_fair_mu3       | 6.60        | -68.00       | 40.53         | -1.14          | 14.00      | 79.40        | 8.04           | 1
9    | mp_fair_mu4       | 6.60        | -68.00       | 40.53         | -1.14          | 14.00      | 79.40        | 8.04           | 1
10   | mp_lta_g020       | 6.60        | -68.00       | 40.53         | -1.14          | 14.00      | 79.40        | 8.04           | 1
11   | mp_lta_g030       | 6.60        | -68.00       | 40.53         | -1.14          | 14.00      | 79.40        | 8.04           | 1
12   | mp_lta_g040       | 6.60        | -68.00       | 40.53         | -1.14          | 14.00      | 79.40        | 8.04           | 1
13   | mp_lta_plus_nmin  | 6.60        | -68.00       | 40.53         | -1.14          | 14.00      | 79.40        | 8.04           | 1
14   | mp_nmin_only      | 6.60        | -68.00       | 40.53         | -1.14          | 14.00      | 79.40        | 8.04           | 1
15   | mp_downstream_b08 | 6.69        | -67.56       | 40.53         | -1.14          | 14.80      | 79.40        | 7.98           | 1
16   | mp_downstream_b16 | 6.69        | -67.56       | 40.53         | -1.14          | 14.80      | 79.40        | 7.98           | 1
17   | fixed_base        | 20.62       | +0.00        | 41.00         | +0.00          | 54.60      | 83.20        | 5.74           | 1
