run_id,map,effective_map,demand,demand_vehicles,demand_start_time,demand_end_time,population_set,pop_seed,scenario,controller,flags,driver_profile,population_file,status,wall_seconds,log_file,vehicles_count,mean_wait_s,p95_wait_s,mean_travel_s,p95_travel_s,mean_time_loss_s,mean_speed_mps,mean_co2_g,mean_fuel_g,planned_trips,completed_trips,unfinished_trips,censoring_rate,mp_switch_margin_count,mp_switch_max_green_count,mp_nmin_hold_step_count,mp_spillback_block_event_count,mp_spillback_release_event_count,mp_spillback_block_step_count,mp_platoon_extend_step_count,mp_fairness_positive_bonus_count,mp_fairness_bonus_sum
bologna__balanced__low__seed1__mp_program0,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_program0,mp,--program0-hybrid --program0-load-ref 3.5 --program0-enter-mp-load 0.60 --program0-exit-fixed-load 0.40 --program0-mode-streak 4,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,155.427,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_program0/vehicle_metrics.csv,1500,194.095333,464.35,463.247333,919.1,293.61246,8.636784,-13330.155055,-14482.438033,1500,1500,0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__balanced__low__seed1__mp_fair_mu5_w20,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_fair_mu5_w20,mp,--fairness --fairness-mu 5.0 --fairness-w-half 20.0,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,248.689,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_fair_mu5_w20/vehicle_metrics.csv,1500,336.199333,1295.35,597.088667,1683.05,426.45488,9.006202,-1195728.480331,-1196981.803376,1500,1500,0,0.0,3983.0,1066.0,0.0,0.0,0.0,0.0,0.0,6982.0,10946.57593
bologna__balanced__low__seed1__mp_lta_g040_sf050,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_lta_g040_sf050,mp,--lost-time-aware --lost-time-sat-flow 0.50 --lost-time-gain 0.40,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,254.065,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_lta_g040_sf050/vehicle_metrics.csv,1500,394.223333,1556.15,660.511333,2003.3,488.321967,8.547685,-2994535.062143,-2995834.918132,1500,1500,0,0.0,2690.0,1516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__balanced__low__seed1__mp_fair_mu3_w30,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_fair_mu3_w30,mp,--fairness --fairness-mu 3.0 --fairness-w-half 30.0,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,261.186,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_fair_mu3_w30/vehicle_metrics.csv,1500,380.382,1537.15,644.054667,1886.55,472.653773,8.91756,-2097600.453455,-2098901.90966,1500,1500,0,0.0,3930.0,1088.0,0.0,0.0,0.0,0.0,0.0,9047.0,9658.96235
bologna__balanced__low__seed1__mp_switch_eps1,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_switch_eps1,mp,--switch-epsilon 1.0,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,272.917,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_switch_eps1/vehicle_metrics.csv,1500,414.323333,1660.95,680.378667,2143.35,507.908213,8.525371,-3327369.040044,-3328686.459214,1500,1500,0,0.0,2703.0,1533.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__balanced__low__seed1__mp_nmin_a120_f4,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_nmin_a120_f4,mp,--nmin-dynamic --lost-time-sat-flow 0.50 --nmin-alpha 1.20 --nmin-floor 4 --nmin-min-green 4.0 --nmin-demand-gain 0.40 --nmin-empty-release-seconds 1.5,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,279.617,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_nmin_a120_f4/vehicle_metrics.csv,1500,429.506,1827.25,696.121333,2310.15,523.515707,8.775174,-3494117.171756,-3495461.515517,1500,1500,0,0.0,3852.0,1108.0,5815.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__balanced__low__seed1__fixed_program0,bologna,bologna,low,1500,0.0,3600.0,balanced,1,fixed_program0,fixed,--fixed-program-id 0,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,32.858,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__fixed_program0/vehicle_metrics.csv,1500,203.371333,492.0,475.541333,964.0,305.921973,8.479445,-9019.47185,-10182.385273,1500,1500,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__balanced__low__seed1__mp_base,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_base,mp,,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,290.426,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_base/vehicle_metrics.csv,1497,431.402806,1650.6,696.496994,2199.2,524.323961,8.730434,-3182655.461885,-3184002.147279,1500,1497,3,0.2,3683.0,1100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__balanced__low__seed1__mp_lta_g060_sf050,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_lta_g060_sf050,mp,--lost-time-aware --lost-time-sat-flow 0.50 --lost-time-gain 0.60,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,292.457,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_lta_g060_sf050/vehicle_metrics.csv,1497,416.629259,1383.0,682.784235,1858.2,510.896921,8.16891,-2834104.521662,-2835425.053671,1500,1497,3,0.2,1733.0,2091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna__balanced__low__seed1__mp_nmin_a080_f2,bologna,bologna,low,1500,0.0,3600.0,balanced,1,mp_nmin_a080_f2,mp,--nmin-dynamic --lost-time-sat-flow 0.50 --nmin-alpha 0.80 --nmin-floor 2 --nmin-min-green 4.0 --nmin-demand-gain 0.25 --nmin-empty-release-seconds 1.0,human_light,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/populations/bologna_balanced_low_seed1.yaml,ok,296.769,/home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0023_20260526_151234/runs/bologna__balanced__low__seed1__mp_nmin_a080_f2/vehicle_metrics.csv,1499,481.113409,2035.0,750.842562,2537.8,577.914103,8.639949,-3915411.634666,-3916807.728057,1500,1499,1,0.066667,3909.0,1098.0,405.0,0.0,0.0,0.0,0.0,0.0,0.0
