map,population_set,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_time_loss_s,avg_mean_speed_mps,avg_vehicles_count,avg_planned_trips,avg_completed_trips,avg_unfinished_trips,avg_censoring_rate,avg_switch_margin_count,avg_switch_max_green_count,avg_nmin_hold_step_count,avg_spillback_block_event_count,avg_spillback_release_event_count,avg_spillback_block_step_count,avg_platoon_extend_step_count,avg_fairness_positive_bonus_count,avg_fairness_bonus_sum
bologna,balanced,high,fixed_program0,1,746.37059,0.0,2824.6,1131.607102,0.0,3670.0,955.720426,5.811652,4393.0,5000.0,4393.0,607.0,12.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,fixed_tuned,1,933.994772,0.0,2947.7,1334.850421,0.0,3778.1,1161.495547,4.729883,4399.0,5000.0,4399.0,601.0,12.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_base,1,1043.291221,0.0,3539.0,1404.225317,0.0,4203.0,1223.797894,5.887894,4021.0,5000.0,4021.0,979.0,19.58,8087.0,1302.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_downstream_b04,1,1155.45622,0.0,3808.9,1504.763489,0.0,4436.8,1327.904982,5.089247,3095.0,5000.0,3095.0,1905.0,38.1,21778.0,1088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_downstream_b08,1,1179.929752,0.0,3986.75,1537.329307,0.0,4597.5,1360.873897,5.038844,3146.0,5000.0,3146.0,1854.0,37.08,21856.0,1114.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_fair_mu3_w30,1,964.766334,0.0,3555.0,1317.798254,0.0,4250.1,1140.784419,5.999638,4010.0,5000.0,4010.0,990.0,19.8,9139.0,1227.0,0.0,0.0,0.0,0.0,0.0,128211.0,269356.951859
bologna,balanced,high,mp_fair_mu5_w20,1,969.359517,0.0,3599.0,1332.978823,0.0,4325.0,1152.64802,6.040612,4061.0,5000.0,4061.0,939.0,18.78,9859.0,1248.0,0.0,0.0,0.0,0.0,0.0,114590.0,431824.302252
bologna,balanced,high,mp_lta_g040_sf050,1,1070.58002,0.0,3882.25,1416.650866,0.0,4529.0,1237.622564,5.847966,3924.0,5000.0,3924.0,1076.0,21.52,6196.0,1839.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_lta_g060_sf050,1,1014.760782,0.0,3680.0,1353.406376,0.0,4251.8,1173.900785,5.907332,3733.0,5000.0,3733.0,1267.0,25.34,4571.0,2442.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bologna,balanced,high,mp_nmin_a080_f2,1,1099.998711,0.0,3611.3,1481.195719,0.0,4304.65,1298.340663,5.694067,3878.0,5000.0,3878.0,1122.0,22.44,10629.0,1300.0,9481.0,0.0,0.0,0.0,0.0,0.0,0.0
