map,population_set,demand,scenario,runs,avg_mean_wait_s,std_mean_wait_s,avg_p95_wait_s,avg_mean_travel_s,std_mean_travel_s,avg_p95_travel_s,avg_mean_time_loss_s,avg_mean_speed_mps,avg_vehicles_count,avg_planned_trips,avg_completed_trips,avg_unfinished_trips,avg_censoring_rate,avg_switch_margin_count,avg_switch_max_green_count,avg_nmin_hold_step_count,avg_spillback_block_event_count,avg_spillback_release_event_count,avg_spillback_block_step_count,avg_platoon_extend_step_count,avg_fairness_positive_bonus_count,avg_fairness_bonus_sum,avg_mp_super_mode_switch_count,avg_mp_super_program0_to_mp_count,avg_mp_super_mp_to_program0_count,avg_mp_super_program0_step_count,avg_mp_super_base_step_count,avg_mp_super_lta_step_count,avg_mp_super_nmin_step_count,avg_mp_super_fair_step_count,avg_mp_super_platoon_step_count,avg_mp_super_safe_step_count,avg_mp_super_load_sum,avg_mp_super_imbalance_sum,avg_mp_super_wait_imbalance_sum,avg_mp_super_burstiness_sum,avg_mp_super_platoon_sum,avg_mp_super_downstream_sum
manhattan8x8_100pc,balanced,high,fixed_program0,5,67.753,0.462943,141.0,184.386821,1.005221,308.61,101.055772,6.434958,5600.0,5600.0,5600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,high,mp_base,5,32.074964,0.333176,66.8,152.585,0.804501,252.41,69.268178,7.560661,5600.0,5600.0,5600.0,0.0,0.0,10184.2,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,high,mp_downstream_b04,5,34.714036,0.611974,71.61,156.887571,1.377359,263.4,73.57825,7.366636,5600.0,5600.0,5600.0,0.0,0.0,12666.8,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,high,mp_fair_mu5_w20,5,31.813429,0.099455,66.0,152.227607,0.528464,252.6,68.909887,7.580687,5600.0,5600.0,5600.0,0.0,0.0,10183.2,20.6,0.0,0.0,0.0,0.0,0.0,9538.0,8364.350041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,high,mp_lta_g060_sf050,5,32.773072,0.451158,70.4,152.589786,1.124555,253.2,69.266688,7.579206,5600.0,5600.0,5600.0,0.0,0.0,9105.8,89.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,high,mp_nmin_a080_f2,5,32.032678,0.763267,64.6,155.283178,1.743646,256.8,72.00595,7.444535,5600.0,5600.0,5600.0,0.0,0.0,13144.6,22.2,23.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,high,mp_platoon_x4,5,31.941143,0.331185,66.6,152.433322,0.877921,253.4,69.1162,7.569173,5600.0,5600.0,5600.0,0.0,0.0,10164.6,25.0,0.0,0.0,0.0,0.0,288.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,high,mp_spillback_on90_off80,5,32.074964,0.333176,66.8,152.585,0.804501,252.41,69.268178,7.560661,5600.0,5600.0,5600.0,0.0,0.0,10184.2,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,high,mp_switch_rel005,5,32.074964,0.333176,66.8,152.585,0.804501,252.41,69.268178,7.560661,5600.0,5600.0,5600.0,0.0,0.0,10184.2,21.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,low,fixed_program0,5,65.849167,1.112195,137.22,176.331,1.866511,297.02,93.415831,6.740129,2400.0,2400.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,low,mp_base,5,26.694667,0.271989,55.8,140.323333,1.309567,235.4,57.426009,8.191561,2400.0,2400.0,2400.0,0.0,0.0,6071.2,91.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,low,mp_downstream_b04,5,31.75925,0.413517,66.6,148.223083,1.386359,253.02,65.338293,7.779928,2400.0,2400.0,2400.0,0.0,0.0,10321.0,14.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,low,mp_fair_mu5_w20,5,26.598917,0.31284,56.8,140.16,1.376444,235.41,57.264091,8.192606,2400.0,2400.0,2400.0,0.0,0.0,6063.6,83.8,0.0,0.0,0.0,0.0,0.0,5584.4,3201.453805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,low,mp_lta_g060_sf050,5,30.556917,0.460507,73.8,143.736083,1.799153,244.83,60.82911,8.070616,2400.0,2400.0,2400.0,0.0,0.0,5273.4,259.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,low,mp_nmin_a080_f2,5,23.535833,0.40801,48.0,137.468167,1.480382,230.01,54.57571,8.332838,2400.0,2400.0,2400.0,0.0,0.0,6586.2,91.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,low,mp_platoon_x4,5,26.918917,0.295932,56.6,140.7635,1.434354,236.02,57.872737,8.167993,2400.0,2400.0,2400.0,0.0,0.0,6079.4,91.0,0.0,0.0,0.0,0.0,113.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,low,mp_spillback_on90_off80,5,26.694667,0.271989,55.8,140.323333,1.309567,235.4,57.426009,8.191561,2400.0,2400.0,2400.0,0.0,0.0,6071.2,91.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,low,mp_switch_rel005,5,26.694667,0.271989,55.8,140.323333,1.309567,235.4,57.426009,8.191561,2400.0,2400.0,2400.0,0.0,0.0,6071.2,91.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,medium,fixed_program0,5,66.8947,0.243343,138.8,180.5614,0.837061,302.82,97.320839,6.58373,4000.0,4000.0,4000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,medium,mp_base,5,29.48235,0.354712,61.41,146.76175,1.23608,244.21,63.537012,7.849594,4000.0,4000.0,4000.0,0.0,0.0,8590.6,39.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,medium,mp_downstream_b04,5,33.04855,0.656962,69.6,152.26795,1.566853,257.01,69.044181,7.589778,4000.0,4000.0,4000.0,0.0,0.0,11824.6,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,medium,mp_fair_mu5_w20,5,29.6287,0.34876,61.6,146.9829,1.171373,244.02,63.758017,7.842297,4000.0,4000.0,4000.0,0.0,0.0,8573.6,39.2,0.0,0.0,0.0,0.0,0.0,7951.0,5913.030757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
manhattan8x8_100pc,balanced,medium,mp_lta_g060_sf050,5,31.4544,0.568924,70.61,147.9965,1.467419,248.0,64.761399,7.832427,4000.0,4000.0,4000.0,0.0,0.0,7566.2,157.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
