Run dir: /home/lugozzi/Desktop/tirocinio/Codice/sumo-traffic-control/logs/ablation/runs/run_0024_20260527_122000
Gruppi: 9
Ordinamento: wait (asc)

=== bologna / balanced / high ===
Rank | Scenario                | MeanWait[s] | DeltaWait[%] | MeanTravel[s] | DeltaTravel[%] | MeanTimeLoss[s] | DeltaTimeLoss[s] | Censoring[%] | P95Wait[s] | P95Travel[s] | MeanSpeed[m/s] | Completed | Runs
-----+-------------------------+-------------+--------------+---------------+----------------+-----------------+------------------+--------------+------------+--------------+----------------+-----------+-----
1    | mp_program0             | 711.30      | -4.70        | 1114.49       | -1.51          | 932.17          | -23.55           | 5.52%        | 2405.40    | 3168.85      | 5.57           | 4724      | 1
2    | fixed_program0          | 746.37      | +0.00        | 1131.61       | +0.00          | 955.72          | +0.00            | 12.14%       | 2824.60    | 3670.00      | 5.81           | 4393      | 1
3    | mp_super                | 783.62      | +4.99        | 1202.29       | +6.25          | 1020.89         | +65.17           | 5.46%        | 2633.80    | 3391.70      | 5.40           | 4727      | 1
4    | fixed_tuned             | 933.99      | +25.14       | 1334.85       | +17.96         | 1161.50         | +205.78          | 12.02%       | 2947.70    | 3778.10      | 4.73           | 4399      | 1
5    | mp_switch_rel005        | 962.41      | +28.95       | 1316.15       | +16.31         | 1135.11         | +179.39          | 18.88%       | 3309.75    | 4021.75      | 5.97           | 4056      | 1
6    | mp_fair_mu3_w30         | 964.77      | +29.26       | 1317.80       | +16.45         | 1140.78         | +185.06          | 19.80%       | 3555.00    | 4250.10      | 6.00           | 4010      | 1
7    | mp_fair_mu5_w20         | 969.36      | +29.88       | 1332.98       | +17.80         | 1152.65         | +196.93          | 18.78%       | 3599.00    | 4325.00      | 6.04           | 4061      | 1
8    | mp_lta_g060_sf050       | 1014.76     | +35.96       | 1353.41       | +19.60         | 1173.90         | +218.18          | 25.34%       | 3680.00    | 4251.80      | 5.91           | 3733      | 1
9    | mp_switch_rel010        | 1031.24     | +38.17       | 1390.60       | +22.89         | 1211.72         | +256.00          | 18.20%       | 3431.55    | 4048.30      | 5.79           | 4090      | 1
