map,population_set,demand,scenario,delta_baseline_scenario,avg_mean_wait_s,avg_mean_travel_s,avg_mean_time_loss_s,wait_delta_vs_base_pct,travel_delta_vs_base_pct,time_loss_delta_vs_base_s
bologna,balanced,high,fixed_program0,fixed_program0,1195.510267,1649.3074,1466.0633,0.0,0.0,0.0
bologna,balanced,high,fixed_tuned,fixed_program0,1363.040667,1832.217533,1651.841212,14.0133,11.0901,185.7779
bologna,balanced,high,mp_base,fixed_program0,1852.887667,2311.9338,2117.260753,54.9872,40.176,651.1975
bologna,balanced,high,mp_fair_mu5_w20,fixed_program0,1721.684667,2179.2148,1988.687598,44.0125,32.1291,522.6243
bologna,balanced,high,mp_lta_g060_sf050,fixed_program0,1947.650933,2403.507133,2206.981513,62.9138,45.7283,740.9182
bologna,balanced,high,mp_nmin_a120_f4,fixed_program0,2098.177733,2567.1292,2367.469438,75.5048,55.6489,901.4061
bologna,balanced,high,mp_platoon_x2,fixed_program0,1872.734733,2333.431333,2139.824377,56.6473,41.4795,673.7611
bologna,balanced,high,mp_program0,fixed_program0,916.112867,1357.778,1174.344956,-23.3706,-17.6759,-291.7183
bologna,balanced,high,mp_spillback_on90_off80,fixed_program0,2039.751933,2504.988333,2308.710978,70.6177,51.8812,842.6477
bologna,balanced,high,mp_super,fixed_program0,913.5834,1345.712733,1160.480527,-23.5821,-18.4074,-305.5828
bologna,balanced,high,mp_super_no_safe,fixed_program0,850.506933,1275.690067,1091.552301,-28.8582,-22.653,-374.511
bologna,balanced,low,fixed_program0,fixed_program0,198.647555,474.718444,301.661942,0.0,0.0,0.0
bologna,balanced,low,fixed_tuned,fixed_program0,277.360444,558.957111,385.902666,39.6244,17.745,84.2407
bologna,balanced,low,mp_base,fixed_program0,406.644,675.756,500.514091,104.7063,42.3488,198.8521
bologna,balanced,low,mp_fair_mu5_w20,fixed_program0,369.510889,636.306444,462.082475,86.0133,34.0387,160.4205
bologna,balanced,low,mp_lta_g060_sf050,fixed_program0,389.372444,659.882,484.581742,96.0117,39.0049,182.9198
bologna,balanced,low,mp_nmin_a120_f4,fixed_program0,423.791778,694.562444,519.129678,113.3385,46.3104,217.4677
bologna,balanced,low,mp_platoon_x2,fixed_program0,412.578444,683.351555,507.805367,107.6937,43.9488,206.1434
bologna,balanced,low,mp_program0,fixed_program0,196.275778,473.149556,300.096627,-1.194,-0.3305,-1.5653
bologna,balanced,low,mp_spillback_on90_off80,fixed_program0,405.551334,674.632667,499.297491,104.1562,42.1122,197.6355
bologna,balanced,low,mp_super,fixed_program0,202.817556,481.600222,308.4783,2.0992,1.4497,6.8164
bologna,balanced,low,mp_super_no_safe,fixed_program0,201.651111,480.277111,307.154213,1.512,1.1709,5.4923
bologna,balanced,medium,fixed_program0,fixed_program0,562.669555,908.446889,730.31298,0.0,0.0,0.0
bologna,balanced,medium,fixed_tuned,fixed_program0,579.956334,927.818666,753.423469,3.0723,2.1324,23.1105
bologna,balanced,medium,mp_base,fixed_program0,781.008111,1105.934556,924.334678,38.804,21.739,194.0217
bologna,balanced,medium,mp_fair_mu5_w20,fixed_program0,706.987778,1031.456778,852.04578,25.6488,13.5407,121.7328
bologna,balanced,medium,mp_lta_g060_sf050,fixed_program0,749.360778,1073.134111,892.051043,33.1795,18.1284,161.7381
bologna,balanced,medium,mp_nmin_a120_f4,fixed_program0,811.637,1138.780667,956.895183,44.2475,25.3547,226.5822
bologna,balanced,medium,mp_platoon_x2,fixed_program0,797.417222,1121.966444,940.57738,41.7203,23.5038,210.2644
bologna,balanced,medium,mp_program0,fixed_program0,411.707222,729.728556,552.896523,-26.8297,-19.673,-177.4165
bologna,balanced,medium,mp_spillback_on90_off80,fixed_program0,831.848111,1158.461334,976.877344,47.8395,27.5211,246.5644
bologna,balanced,medium,mp_super,fixed_program0,333.883445,651.131111,475.614255,-40.6608,-28.3248,-254.6987
bologna,balanced,medium,mp_super_no_safe,fixed_program0,361.329444,679.912555,503.968048,-35.783,-25.1566,-226.3449
bologna,peak,high,fixed_program0,fixed_program0,3224.809867,4025.807067,3783.571247,0.0,0.0,0.0
bologna,peak,high,fixed_tuned,fixed_program0,3488.631267,4286.485733,4047.380763,8.181,6.4752,263.8095
bologna,peak,high,mp_base,fixed_program0,5329.745067,6204.216733,5937.723717,65.2732,54.1111,2154.1525
bologna,peak,high,mp_fair_mu5_w20,fixed_program0,4879.316533,5771.851867,5515.031593,51.3056,43.3713,1731.4603
bologna,peak,high,mp_lta_g060_sf050,fixed_program0,5246.744733,6101.184267,5831.627329,62.6994,51.5518,2048.0561
bologna,peak,high,mp_nmin_a120_f4,fixed_program0,5504.765267,6415.4024,6145.716723,70.7005,59.3569,2362.1455
bologna,peak,high,mp_platoon_x2,fixed_program0,5220.488667,6082.0056,5817.574309,61.8852,51.0754,2034.0031
bologna,peak,high,mp_program0,fixed_program0,2167.7118,3052.9278,2832.684635,-32.7802,-24.1661,-950.8866
bologna,peak,high,mp_spillback_on90_off80,fixed_program0,5110.232733,5966.322733,5705.068667,58.4662,48.2019,1921.4974
bologna,peak,high,mp_super,fixed_program0,2183.0476,3069.881,2848.742838,-32.3046,-23.745,-934.8284
bologna,peak,high,mp_super_no_safe,fixed_program0,2252.054667,3125.417333,2903.104355,-30.1647,-22.3654,-880.4669
